score	atom_pair_constraint	rms_core_low	description
-214.323	-83.041	4.209	S_0304_0001
-203.563	-83.274	2.579	S_0304_1_0001
-217.833	-77.787	4.521	S_0305_0001
-234.472	-83.260	2.423	S_0305_1_0001
-216.387	-79.251	3.999	S_0306_0001
-227.529	-84.789	2.474	S_0306_1_0001
-219.066	-85.347	3.697	S_0307_0001
-207.631	-88.918	2.968	S_0307_1_0001
-210.779	-82.522	2.401	S_0308_0001
-209.642	-78.222	2.444	S_0308_1_0001
-222.913	-84.512	2.115	S_0309_0001
-222.299	-84.910	2.412	S_0309_1_0001
-219.731	-91.289	4.815	S_0310_0001
-214.783	-84.668	2.824	S_0310_1_0001
-210.500	-80.883	2.957	S_0311_0001
-219.812	-84.235	0.954	S_0311_1_0001
-221.848	-87.443	2.450	S_0312_0001
-214.487	-83.158	0.906	S_0312_1_0001
-216.812	-80.998	3.446	S_0313_0001
-217.524	-84.245	1.464	S_0313_1_0001
-219.344	-87.098	2.247	S_0314_0001
-213.908	-83.622	3.717	S_0314_1_0001
-218.662	-86.744	2.973	S_0315_0001
-213.491	-85.148	5.212	S_0315_1_0001
-214.111	-84.816	2.597	S_0316_0001
-205.205	-77.300	2.768	S_0316_1_0001
-227.678	-85.834	3.266	S_0317_0001
-219.793	-85.384	1.012	S_0317_1_0001
-221.952	-81.686	2.428	S_0318_0001
-220.431	-81.607	1.636	S_0318_1_0001
-232.753	-91.166	2.954	S_0319_0001
-208.116	-87.285	3.375	S_0319_1_0001
-217.006	-85.830	2.441	S_0320_0001
-221.120	-80.634	2.380	S_0320_1_0001
-228.340	-87.273	2.545	S_0321_0001
-217.369	-89.904	2.649	S_0321_1_0001
-189.704	-86.147	4.154	S_0322_0001
-227.294	-85.323	1.587	S_0322_1_0001
-223.272	-84.591	2.404	S_0323_0001
-225.550	-85.455	2.074	S_0323_1_0001
-222.280	-87.145	2.500	S_0324_0001
-208.775	-85.181	1.840	S_0324_1_0001
-211.059	-82.518	3.194	S_0325_0001
-223.901	-83.991	1.322	S_0325_1_0001
-202.723	-79.365	5.014	S_0326_0001
-211.540	-77.924	3.333	S_0326_1_0001
-198.228	-78.815	2.993	S_0327_0001
-220.955	-88.781	6.462	S_0327_1_0001
-222.820	-88.065	3.530	S_0328_0001
-221.192	-83.954	2.007	S_0328_1_0001
-211.307	-81.778	2.158	S_0329_0001
-199.963	-89.663	3.627	S_0329_1_0001
-215.125	-80.499	2.514	S_0330_0001
-225.719	-85.352	1.814	S_0330_1_0001
-216.023	-84.063	4.021	S_0331_0001
-239.788	-84.167	0.000	S_0331_1_0001
-216.770	-85.038	2.092	S_0332_0001
-232.810	-91.652	3.944	S_0332_1_0001
-222.768	-86.134	1.815	S_0333_0001
-206.661	-81.495	5.815	S_0333_1_0001
-214.624	-84.956	3.459	S_0334_0001
-201.731	-78.434	4.055	S_0334_1_0001
-187.859	-77.352	4.145	S_0335_0001
-214.940	-82.073	1.460	S_0335_1_0001
-220.799	-89.039	2.720	S_0336_0001
-216.579	-86.963	2.514	S_0336_1_0001
-230.377	-87.979	2.332	S_0337_0001
-188.145	-77.529	4.690	S_0337_1_0001
-206.875	-83.094	2.870	S_0338_0001
-228.264	-84.554	1.541	S_0338_1_0001
-188.094	-83.731	4.054	S_0339_0001
-193.707	-86.258	3.763	S_0339_1_0001
-210.684	-78.647	3.635	S_0340_0001
-208.851	-82.967	4.197	S_0340_1_0001
-214.769	-82.900	2.891	S_0341_0001
-223.095	-86.242	2.219	S_0341_1_0001
-212.831	-80.686	2.767	S_0342_0001
-215.229	-84.733	2.688	S_0342_1_0001
-213.988	-83.332	1.990	S_0343_0001
-220.651	-85.905	2.929	S_0343_1_0001
-214.806	-85.651	2.638	S_0344_0001
-218.128	-88.533	2.239	S_0344_1_0001
-209.228	-88.085	3.727	S_0345_0001
-210.122	-85.475	2.451	S_0345_1_0001
-208.283	-79.947	1.243	S_0346_0001
-221.037	-85.742	2.895	S_0346_1_0001
-216.004	-79.331	2.584	S_0347_0001
-229.862	-84.745	2.590	S_0347_1_0001
-207.521	-87.263	2.673	S_0348_0001
-207.013	-75.973	4.426	S_0348_1_0001
-231.953	-86.645	2.264	S_0349_0001
-239.438	-92.354	5.515	S_0349_1_0001
-216.466	-84.101	3.129	S_0350_0001
-208.318	-89.847	3.963	S_0350_1_0001
-220.615	-86.329	1.393	S_0351_0001
-222.658	-83.703	1.763	S_0351_1_0001
-224.316	-84.810	4.428	S_0352_0001
-201.455	-79.821	2.820	S_0352_1_0001
-216.579	-86.729	2.938	S_0353_0001
-214.195	-78.048	2.787	S_0353_1_0001
-222.357	-85.037	1.327	S_0354_0001
-216.750	-79.234	4.319	S_0354_1_0001
-204.002	-83.355	3.666	S_0355_0001
-218.761	-88.230	1.369	S_0355_1_0001
-210.809	-82.644	2.593	S_0356_0001
-209.302	-86.536	1.469	S_0356_1_0001
-219.104	-87.453	2.263	S_0357_0001
-224.384	-86.718	2.977	S_0357_1_0001
-206.954	-86.118	3.693	S_0358_0001
-214.668	-85.909	1.894	S_0358_1_0001
-213.486	-95.025	7.624	S_0359_0001
-230.607	-83.775	1.777	S_0359_1_0001
-206.376	-82.668	1.938	S_0360_0001
-204.790	-84.916	2.870	S_0360_1_0001
-206.672	-84.032	3.515	S_0361_0001
-200.432	-78.799	4.303	S_0361_1_0001
-231.122	-83.704	0.979	S_0362_0001
-217.924	-87.024	3.660	S_0362_1_0001
-202.674	-82.627	3.198	S_0363_0001
-226.737	-83.886	2.415	S_0363_1_0001
-216.951	-84.123	2.403	S_0364_0001
-219.149	-85.804	2.027	S_0364_1_0001
-202.946	-75.449	8.447	S_0365_0001
-226.923	-83.415	2.758	S_0365_1_0001
-214.385	-85.196	2.179	S_0366_0001
-193.837	-83.352	3.826	S_0366_1_0001
-230.288	-86.885	1.485	S_0367_0001
-206.450	-76.474	2.737	S_0367_1_0001
-230.683	-87.031	6.544	S_0368_0001
-224.652	-87.889	3.074	S_0368_1_0001
-215.381	-81.565	2.239	S_0369_0001
-223.441	-85.323	1.468	S_0369_1_0001
-225.712	-88.268	3.211	S_0370_0001
-212.822	-84.370	3.471	S_0370_1_0001
-229.139	-88.043	3.273	S_0371_0001
-227.308	-83.560	1.176	S_0371_1_0001
-191.916	-73.279	2.857	S_0372_0001
-220.968	-84.917	3.123	S_0372_1_0001
-222.531	-79.610	3.116	S_0373_0001
-216.579	-82.556	1.634	S_0373_1_0001
-215.838	-83.484	2.454	S_0374_0001
-202.518	-83.072	2.665	S_0374_1_0001
-217.266	-88.327	2.907	S_0375_0001
-211.053	-85.728	2.320	S_0375_1_0001
-222.995	-82.289	3.397	S_0376_0001
-215.445	-84.783	3.410	S_0376_1_0001
-211.576	-81.925	3.299	S_0377_0001
-222.871	-80.025	2.317	S_0377_1_0001
-219.872	-78.939	2.232	S_0378_0001
-222.313	-84.560	1.936	S_0378_1_0001
-202.823	-76.255	3.055	S_0379_0001
-212.684	-87.594	2.274	S_0379_1_0001
-224.793	-85.299	2.740	S_0380_0001
-218.951	-85.204	2.712	S_0380_1_0001
-228.246	-85.789	2.764	S_0381_0001
-221.467	-82.799	1.675	S_0381_1_0001
-213.395	-85.290	1.960	S_0382_0001
-225.240	-91.157	7.719	S_0382_1_0001
-217.889	-86.480	2.895	S_0383_0001
-214.676	-86.638	2.813	S_0383_1_0001
-215.428	-80.504	3.629	S_0384_0001
-225.480	-87.100	3.120	S_0384_1_0001
-200.014	-77.894	4.176	S_0385_0001
-199.297	-85.906	3.262	S_0385_1_0001
-198.992	-80.434	3.269	S_0386_0001
-205.507	-79.849	2.783	S_0386_1_0001
-224.513	-80.159	2.772	S_0387_0001
-226.766	-81.599	2.317	S_0387_1_0001
-208.918	-82.107	2.350	S_0388_0001
-207.620	-78.775	3.588	S_0388_1_0001
-217.494	-82.095	3.232	S_0389_0001
-208.776	-79.920	2.486	S_0389_1_0001
-208.531	-85.263	2.644	S_0390_0001
-217.813	-83.045	1.960	S_0390_1_0001
-211.040	-81.643	2.082	S_0391_0001
-216.355	-89.128	2.653	S_0391_1_0001
-219.354	-84.024	1.578	S_0392_0001
-222.576	-85.332	2.737	S_0392_1_0001
-212.141	-80.871	2.101	S_0393_0001
-208.154	-85.959	2.588	S_0393_1_0001
-215.364	-78.826	8.515	S_0394_0001
-213.651	-78.666	3.873	S_0394_1_0001
-217.272	-84.847	3.621	S_0395_0001
-219.129	-83.314	1.880	S_0395_1_0001
-215.554	-83.990	2.456	S_0396_0001
-208.470	-81.846	2.946	S_0396_1_0001
-225.828	-83.959	1.822	S_0397_0001
-213.398	-85.367	2.530	S_0397_1_0001
-201.224	-85.246	3.742	S_0398_0001
-216.928	-86.520	1.925	S_0398_1_0001
-215.355	-86.703	1.746	S_0399_0001
-211.751	-80.245	1.495	S_0399_1_0001
-212.814	-81.450	3.519	S_0400_0001
-215.899	-87.124	2.708	S_0400_1_0001
-210.589	-84.725	2.208	S_0401_0001
-210.966	-83.454	3.148	S_0401_1_0001
-204.058	-85.776	2.383	S_0402_0001
-207.960	-82.470	4.998	S_0402_1_0001
-220.605	-79.263	1.875	S_0403_0001
-213.235	-79.301	3.208	S_0403_1_0001
-217.545	-83.437	2.181	S_0404_0001
-194.422	-79.338	2.315	S_0404_1_0001
-221.420	-88.313	3.786	S_0405_0001
-208.437	-80.255	3.822	S_0405_1_0001
-205.033	-69.465	4.450	S_0406_0001
-221.818	-81.855	1.560	S_0406_1_0001
-209.959	-85.908	1.821	S_0407_0001
-221.707	-85.566	2.353	S_0407_1_0001
-208.094	-78.282	3.274	S_0408_0001
-220.955	-85.876	3.278	S_0408_1_0001
-212.286	-84.375	1.776	S_0409_0001
-218.061	-87.186	1.235	S_0409_1_0001
-221.206	-80.966	3.245	S_0410_0001
-220.722	-83.037	1.908	S_0410_1_0001
-202.969	-84.825	2.477	S_0411_0001
-188.863	-80.751	4.107	S_0411_1_0001
-201.114	-80.885	4.743	S_0412_0001
-214.864	-90.041	2.224	S_0412_1_0001
-217.643	-87.300	2.947	S_0413_0001
-215.272	-82.586	3.235	S_0413_1_0001
-221.642	-85.541	2.566	S_0414_0001
-212.816	-82.375	1.930	S_0414_1_0001
-214.301	-84.321	1.178	S_0415_0001
-208.240	-79.960	2.252	S_0415_1_0001
-217.260	-85.195	3.714	S_0416_0001
-209.919	-82.614	2.020	S_0416_1_0001
-223.821	-83.790	2.305	S_0417_0001
-218.666	-82.139	1.426	S_0417_1_0001
-238.653	-91.658	5.539	S_0418_0001
-213.940	-79.581	1.980	S_0418_1_0001
-210.302	-84.942	2.343	S_0419_0001
-221.083	-87.452	10.624	S_0419_1_0001
-230.199	-89.429	4.706	S_0420_0001
-238.886	-85.292	1.619	S_0420_1_0001
-224.021	-82.264	2.531	S_0421_0001
-219.303	-85.136	1.409	S_0421_1_0001
-217.448	-89.524	2.306	S_0422_0001
-211.573	-82.256	2.821	S_0422_1_0001
-207.499	-80.430	6.366	S_0423_0001
-204.884	-84.657	3.095	S_0423_1_0001
-206.456	-86.563	3.039	S_0424_0001
-221.781	-87.250	3.667	S_0424_1_0001
-223.707	-84.424	2.283	S_0425_0001
-215.194	-84.639	3.781	S_0425_1_0001
-208.172	-82.211	4.490	S_0426_0001
-224.374	-85.985	3.172	S_0426_1_0001
-198.637	-81.382	5.538	S_0427_0001
-214.728	-83.575	4.221	S_0427_1_0001
-216.555	-92.710	4.074	S_0428_0001
-217.507	-80.734	2.997	S_0428_1_0001
-191.621	-69.219	3.018	S_0429_0001
-210.644	-79.542	2.608	S_0429_1_0001
-218.295	-81.143	2.312	S_0430_0001
-222.368	-81.308	2.371	S_0430_1_0001
-198.192	-85.509	4.411	S_0431_0001
-206.827	-85.140	2.506	S_0431_1_0001
-217.178	-81.763	4.307	S_0432_0001
-218.846	-84.407	2.417	S_0432_1_0001
-222.661	-84.298	4.864	S_0433_0001
-220.209	-89.429	2.067	S_0433_1_0001
-199.857	-84.740	2.399	S_0434_0001
-212.688	-81.501	2.305	S_0434_1_0001
-222.393	-77.085	1.057	S_0435_0001
-229.137	-91.673	6.357	S_0435_1_0001
-211.820	-84.426	4.320	S_0436_0001
-224.538	-81.427	1.750	S_0436_1_0001
-221.165	-83.381	2.755	S_0437_0001
-197.127	-78.800	3.302	S_0437_1_0001
-214.119	-88.750	3.510	S_0438_0001
-219.827	-81.688	1.754	S_0438_1_0001
-219.221	-87.342	2.792	S_0439_0001
-221.258	-88.962	2.419	S_0439_1_0001
-194.743	-86.162	3.652	S_0440_0001
-221.979	-83.809	2.407	S_0440_1_0001
-231.225	-88.903	1.480	S_0441_0001
-219.807	-83.275	1.404	S_0441_1_0001
-216.170	-86.598	3.166	S_0442_0001
-223.148	-82.496	1.341	S_0442_1_0001
-207.483	-78.070	2.932	S_0443_0001
-221.296	-84.863	1.814	S_0443_1_0001
-215.495	-86.596	2.875	S_0444_0001
-203.845	-84.526	2.847	S_0444_1_0001
-213.515	-81.056	5.746	S_0445_0001
-218.216	-84.296	6.574	S_0445_1_0001
-226.717	-82.049	1.666	S_0446_0001
-224.150	-86.668	3.096	S_0446_1_0001
-223.808	-90.160	3.274	S_0447_0001
-216.395	-89.808	3.089	S_0447_1_0001
-212.541	-86.791	1.322	S_0448_0001
-213.839	-83.490	2.350	S_0448_1_0001
-225.663	-88.994	1.663	S_0449_0001
-218.286	-82.632	1.656	S_0449_1_0001
-220.142	-77.787	4.654	S_0450_0001
-214.948	-82.132	2.022	S_0450_1_0001
-215.010	-87.458	1.941	S_0451_0001
-224.783	-84.609	2.540	S_0451_1_0001
-222.475	-84.251	2.807	S_0452_0001
-224.043	-85.775	3.280	S_0452_1_0001
-213.430	-86.408	3.026	S_0453_0001
-225.033	-87.061	2.829	S_0453_1_0001
-205.157	-86.623	3.581	S_0454_0001
-209.520	-86.638	3.264	S_0454_1_0001
-211.558	-81.362	1.010	S_0455_0001
-206.479	-83.458	3.481	S_0455_1_0001
-217.591	-87.769	2.281	S_0456_0001
-200.764	-81.996	2.448	S_0456_1_0001
-211.078	-86.401	4.285	S_0457_0001
-232.501	-82.337	2.438	S_0457_1_0001
-214.729	-85.063	1.913	S_0458_0001
-220.689	-84.157	2.879	S_0458_1_0001
-221.803	-88.467	3.020	S_0459_0001
-226.363	-81.541	1.238	S_0459_1_0001
-201.731	-75.602	3.803	S_0460_0001
-211.063	-86.986	2.893	S_0460_1_0001
-223.840	-89.402	2.053	S_0461_0001
-199.004	-75.914	2.653	S_0461_1_0001
-204.499	-79.349	7.340	S_0462_0001
-199.544	-78.632	2.486	S_0462_1_0001
-224.212	-87.830	2.787	S_0463_0001
-206.006	-82.317	2.024	S_0463_1_0001
-225.996	-85.640	1.569	S_0464_0001
-222.682	-86.077	2.079	S_0464_1_0001
-229.608	-86.609	2.345	S_0465_0001
-219.084	-88.760	4.841	S_0465_1_0001
-211.395	-82.517	2.889	S_0466_0001
-223.460	-91.834	3.822	S_0466_1_0001
-214.299	-84.740	3.799	S_0467_0001
-207.770	-85.268	3.169	S_0467_1_0001
-206.943	-83.984	2.331	S_0468_0001
-217.863	-85.798	2.954	S_0468_1_0001
-215.391	-90.637	2.529	S_0469_0001
-219.530	-90.502	3.799	S_0469_1_0001
-209.783	-81.810	1.641	S_0470_0001
-212.919	-83.317	1.172	S_0470_1_0001
-209.854	-90.194	2.587	S_0471_0001
-211.566	-83.135	1.827	S_0471_1_0001
-215.011	-85.708	2.436	S_0472_0001
-236.252	-82.647	1.884	S_0472_1_0001
-212.838	-85.778	2.452	S_0473_0001
-205.362	-86.500	2.966	S_0473_1_0001
-222.212	-80.668	1.435	S_0474_0001
-220.612	-80.785	2.921	S_0474_1_0001
-209.480	-88.990	3.032	S_0475_0001
-228.637	-85.709	1.921	S_0475_1_0001
-213.905	-87.004	3.157	S_0476_0001
-208.244	-85.637	2.709	S_0476_1_0001
-217.300	-83.027	2.050	S_0477_0001
-213.090	-88.435	3.544	S_0477_1_0001
-231.888	-81.051	2.279	S_0478_0001
-220.364	-83.301	3.318	S_0478_1_0001
-213.457	-77.284	1.745	S_0479_0001
-224.417	-85.422	2.551	S_0479_1_0001
-213.733	-84.441	2.995	S_0480_0001
-218.034	-85.321	1.994	S_0480_1_0001
-216.972	-92.493	3.926	S_0481_0001
-212.482	-86.905	4.032	S_0481_1_0001
-222.078	-86.769	2.722	S_0482_0001
-217.484	-84.914	2.531	S_0482_1_0001
-213.005	-78.118	2.025	S_0483_0001
-224.241	-83.998	2.531	S_0483_1_0001
-229.682	-84.828	1.933	S_0484_0001
-220.858	-91.516	7.449	S_0484_1_0001
-210.141	-80.302	2.083	S_0485_0001
-224.749	-91.831	7.334	S_0485_1_0001
-215.288	-81.655	3.730	S_0486_0001
-207.617	-84.780	2.675	S_0486_1_0001
-208.312	-80.568	4.045	S_0487_0001
-176.277	-77.998	3.877	S_0487_1_0001
-226.503	-86.200	2.349	S_0488_0001
-219.447	-87.876	1.806	S_0488_1_0001
-217.134	-83.731	2.451	S_0489_0001
-222.851	-88.700	1.711	S_0489_1_0001
-222.276	-89.338	4.171	S_0490_0001
-226.200	-81.555	1.736	S_0490_1_0001
-195.022	-77.306	4.122	S_0491_0001
-209.635	-85.718	3.733	S_0491_1_0001
-227.061	-87.381	3.067	S_0492_0001
-218.628	-78.867	2.386	S_0492_1_0001
-222.476	-82.336	2.263	S_0493_0001
-210.993	-81.648	3.069	S_0493_1_0001
-205.346	-88.615	2.464	S_0494_0001
-216.575	-89.290	4.106	S_0494_1_0001
-221.252	-86.660	1.606	S_0495_0001
-208.784	-83.683	2.571	S_0495_1_0001
-219.933	-84.420	4.705	S_0496_0001
-210.702	-85.808	2.773	S_0496_1_0001
-215.319	-83.523	1.433	S_0497_0001
-226.314	-86.376	3.515	S_0497_1_0001
-217.395	-84.577	3.634	S_0498_0001
-219.575	-86.957	2.414	S_0498_1_0001
-199.282	-87.123	2.485	S_0499_0001
-239.810	-90.096	1.872	S_0499_1_0001
-223.833	-87.174	4.461	S_0500_0001
-197.347	-81.294	2.363	S_0500_1_0001
