tag	atom_pair_constraint	score
S_0047_2	-177.745	83.157
S_0047_3	-173.419	30.059
S_0047_4	-177.397	4.839
S_0082_4	-165.19	30.713
S_0104_2	-141.961	103.121
S_0147_3	-162.714	-5.782
S_0104_1	-173.188	-1.607
S_0188_3	-174.618	-8.089
S_0147_4	-186.562	-7.368
S_0200_1	-184.643	-11.371
S_0177_4	-168.633	-6.329
S_0177_1	-168.995	-2.989
S_0177_2	-158.927	78.726
S_0177_3	-180.688	5.414
S_0175_2	-188.335	9.185
S_0175_3	-196.958	48.179
S_0175_1	-175.507	-19.374
S_0149_4	-191.569	-26.609
S_0175_4	-190.141	-21.136
S_0166_2	-192.413	-37.048
S_0074_2	-169.894	8.593
S_0074_3	-174.051	-11.751
S_0180_4	-156.844	42.599
S_0074_1	-173.75	-3.271
S_0180_2	-152.941	98.227
S_0180_3	-164.001	20.268
S_0074_4	-194.081	22.946
S_0180_1	-180.275	32.262
S_0119_1	-170.708	41.337
S_0119_2	-179.867	-18.194
S_0119_3	-164.976	19.843
S_0119_4	-151.039	37.247
S_0072_1	-179.111	25.365
S_0045_4	-185.812	20.581
S_0072_3	-185.309	36.708
S_0045_2	-181.695	-15.057
S_0045_3	-168.993	-5.674
S_0045_1	-180.877	-3.425
S_0189_4	-173.781	3.308
S_0181	-193.761	-0.651
S_0180	-181.219	-13.037
S_0183	-194.75	-46.708
S_0181_4	-195.809	-26.375
S_0185	-192.798	-34.953
S_0184	-159.721	68.258
S_0187	-179.796	-46.906
S_0186	-193.551	14.822
S_0189	-197.996	-36.092
S_0188	-191.48	-41.31
S_0070_4	-178.005	33.598
S_0070_2	-194.222	120.959
S_0070_3	-179.609	42.56
S_0070_1	-188.988	-18.789
S_0049_2	-187.188	21.477
S_0049_3	-183.917	-14.88
S_0049_1	-188.029	-20.19
S_0115_1	-157.248	96.579
S_0049_4	-191.509	-2.004
S_0115_3	-185.96	-14.243
S_0135_2	-173.132	19.846
S_0053	-174.953	24.306
S_0001	-174.508	21.349
S_0002	-192.806	-27.854
S_0003	-187.355	-34.071
S_0004	-192.929	-19.109
S_0005	-184.911	-37.22
S_0006	-144.329	103.655
S_0007	-152.481	0.04
S_0008	-157.359	65.669
S_0009	-161.001	105.026
S_0172_3	-185.413	-16.406
S_0186_2	-189.407	-32.705
S_0186_3	-182.703	-14.464
S_0172_2	-167.464	46.5
S_0184_2	-191.799	40.828
S_0184_3	-193.449	-45.118
S_0184_1	-143.328	85.124
S_0184_4	-189.203	-26.456
S_0172_4	-160.39	46.747
S_0182_1	-159.915	113.323
S_0182_2	-161.069	29.302
S_0182_3	-174.434	6.947
S_0182_4	-178.061	11.218
S_0134	-169.997	18.444
S_0135	-133.206	195.093
S_0136	-173.579	-14.82
S_0137	-171.83	36.46
S_0130	-177.583	-32.71
S_0131	-181.248	-7.267
S_0132	-189.026	-7.518
S_0133	-177.384	21.391
S_0170	-168.023	-9.823
S_0138	-143.151	104.983
S_0139	-155.408	72.141
S_0183_4	-146.138	96.438
S_0086_3	-176.827	7.831
S_0117_3	-153.5	96.414
S_0117_1	-173.347	-14.285
S_0189_3	-139.763	135.549
S_0189_2	-173.821	39.908
S_0117_4	-185.029	18.929
S_0196	-178.682	-8.362
S_0038	-198.845	-36.661
S_0111_1	-179.614	4.702
S_0111_2	-174.104	-28.841
S_0111_3	-190.748	-47.304
S_0111_4	-179.618	12.346
S_0171	-167.928	-8.998
S_0124_4	-181.335	41.762
S_0159_4	-187.562	14.833
S_0124_1	-139.403	89.28
S_0124_2	-137.444	132.242
S_0124_3	-155.366	114.659
S_0125_4	-171.776	-17.019
S_0200	-191.322	-19.532
S_0126_2	-121.484	89.573
S_0126_3	-172.816	3.152
S_0113_4	-156.59	50.761
S_0126_1	-191.049	6.565
S_0113_2	-128.473	128.039
S_0113_3	-179.707	7.609
S_0126_4	-165.745	26.492
S_0113_1	-181.645	-25.733
S_0151_4	-191.592	20.911
S_0120_1	-190.594	-48.662
S_0120_2	-155.417	93.008
S_0120_3	-174.092	7.236
S_0120_4	-192.677	-31.084
