tag	rms_TM	score
S_0115_3	7.042	-14.243
S_0135_2	8.626	19.846
S_0053	8.449	24.306
S_0001	10.927	21.349
S_0002	10.348	-27.854
S_0003	3.806	-34.071
S_0004	4.484	-19.109
S_0005	4.221	-37.22
S_0006	15.93	103.655
S_0007	7.508	0.04
S_0008	15.07	65.669
S_0009	15.54	105.026
S_0172_3	6.803	-16.406
S_0186_2	5.458	-32.705
S_0186_3	4.948	-14.464
S_0172_2	8.358	46.5
S_0184_2	4.661	40.828
S_0184_3	3.949	-45.118
S_0184_1	15.658	85.124
S_0184_4	2.875	-26.456
S_0172_4	9.495	46.747
S_0182_1	10.53	113.323
S_0182_2	11.384	29.302
S_0182_3	7.804	6.947
S_0182_4	10.261	11.218
S_0134	9.928	18.444
S_0135	16.743	195.093
S_0136	6.06	-14.82
S_0137	11.29	36.46
S_0130	7.762	-32.71
S_0131	5.332	-7.267
S_0132	4.808	-7.518
S_0133	6.648	21.391
S_0170	6.567	-9.823
S_0138	15.558	104.983
S_0139	14.744	72.141
S_0183_4	13.315	96.438
S_0086_3	6.061	7.831
S_0117_3	15.272	96.414
S_0117_1	5.861	-14.285
S_0189_3	17.065	135.549
S_0189_2	7.377	39.908
S_0117_4	8.271	18.929
S_0196	4.209	-8.362
S_0038	4.573	-36.661
S_0111_1	6.443	4.702
S_0111_2	6.641	-28.841
S_0111_3	3.434	-47.304
S_0111_4	7.938	12.346
S_0171	9.167	-8.998
S_0124_4	9.965	41.762
S_0159_4	8.552	14.833
S_0124_1	15.164	89.28
S_0124_2	14.802	132.242
S_0124_3	15.74	114.659
S_0125_4	7.091	-17.019
S_0200	6.371	-19.532
S_0126_2	13.909	89.573
S_0126_3	8.485	3.152
S_0113_4	7.235	50.761
S_0126_1	11.734	6.565
S_0113_2	17.872	128.039
S_0113_3	7.41	7.609
S_0126_4	8.177	26.492
S_0113_1	3.828	-25.733
S_0151_4	8.037	20.911
S_0120_1	4.294	-48.662
S_0120_2	14.773	93.008
S_0120_3	8.783	7.236
S_0120_4	3.757	-31.084
