score	atom_pair_constraint	rms_TM_low	description
-191.459	-170.708	8.914	S_0119_1_0001
-241.000	-179.867	10.327	S_0119_2_0001
-223.984	-164.976	9.612	S_0119_3_0001
-199.163	-151.039	9.095	S_0119_4_0001
-225.446	-188.889	10.690	S_0120_0001
-249.089	-190.594	5.023	S_0120_1_0001
24691.027	-155.417	14.678	S_0120_2_0001
-230.102	-174.092	9.365	S_0120_3_0001
-263.385	-192.677	4.624	S_0120_4_0001
-230.520	-187.137	4.725	S_0121_0001
-235.456	-180.372	5.612	S_0121_1_0001
-237.452	-181.508	7.312	S_0121_2_0001
-229.468	-185.454	6.287	S_0121_3_0001
-254.443	-193.575	5.924	S_0121_4_0001
-242.318	-186.843	7.680	S_0122_0001
-244.191	-197.520	5.424	S_0122_1_0001
-225.806	-180.184	9.052	S_0122_2_0001
24689.510	-156.167	15.001	S_0122_3_0001
-160.379	-149.342	7.540	S_0122_4_0001
-203.145	-159.925	9.882	S_0123_0001
-239.835	-196.309	4.404	S_0123_1_0001
-234.241	-196.455	6.941	S_0123_2_0001
-168.757	-188.769	15.435	S_0123_3_0001
-226.213	-180.264	8.380	S_0123_4_0001
-197.550	-165.554	9.941	S_0124_0001
24695.507	-139.403	15.401	S_0124_1_0001
24697.018	-137.444	14.350	S_0124_2_0001
-139.991	-155.366	15.971	S_0124_3_0001
-228.131	-181.335	11.082	S_0124_4_0001
-257.060	-189.869	3.936	S_0125_0001
-244.379	-176.098	8.077	S_0125_1_0001
-212.944	-185.183	11.340	S_0125_2_0001
-207.658	-169.213	11.127	S_0125_3_0001
-235.666	-171.776	7.856	S_0125_4_0001
-241.102	-190.789	10.087	S_0126_0001
-208.844	-191.049	11.039	S_0126_1_0001
-148.465	-121.484	13.509	S_0126_2_0001
-212.989	-172.816	8.841	S_0126_3_0001
-207.592	-165.745	8.702	S_0126_4_0001
-204.228	-157.384	9.020	S_0127_0001
-255.950	-192.791	5.984	S_0127_1_0001
-211.062	-172.086	10.932	S_0127_2_0001
-212.682	-161.385	8.841	S_0127_3_0001
24695.656	-143.621	15.117	S_0127_4_0001
-214.037	-186.971	11.222	S_0128_0001
-169.505	-153.496	13.043	S_0128_1_0001
-214.700	-177.663	9.047	S_0128_2_0001
-237.873	-182.791	6.658	S_0128_3_0001
24718.527	-141.298	17.540	S_0128_4_0001
-244.841	-181.797	5.933	S_0129_0001
-206.989	-161.144	8.682	S_0129_1_0001
-239.405	-178.888	8.005	S_0129_2_0001
-119.709	-108.043	9.352	S_0129_3_0001
-213.996	-172.593	9.641	S_0129_4_0001
-236.573	-177.583	7.267	S_0130_0001
-246.589	-181.782	8.139	S_0130_1_0001
24734.326	-144.653	16.986	S_0130_2_0001
-210.230	-163.697	8.500	S_0130_3_0001
-239.086	-193.053	3.497	S_0130_4_0001
-239.552	-181.248	4.274	S_0131_0001
-162.892	-172.744	6.191	S_0131_1_0001
-149.473	-155.317	15.782	S_0131_2_0001
-189.043	-152.720	8.300	S_0131_3_0001
-218.844	-183.283	11.463	S_0131_4_0001
-231.225	-189.026	4.311	S_0132_0001
-217.879	-178.750	8.596	S_0132_1_0001
-249.946	-191.279	4.233	S_0132_2_0001
-238.391	-187.979	3.926	S_0132_3_0001
-242.194	-185.061	4.771	S_0132_4_0001
-220.157	-177.384	7.887	S_0133_0001
24688.298	-154.413	15.679	S_0133_1_0001
24700.574	-123.065	14.400	S_0133_2_0001
-208.917	-168.833	8.880	S_0133_3_0001
-183.598	-165.083	12.296	S_0133_4_0001
-216.763	-169.997	10.386	S_0134_0001
-206.862	-168.478	8.019	S_0134_1_0001
-228.449	-182.583	8.800	S_0134_2_0001
24688.945	-150.635	15.803	S_0134_3_0001
-245.643	-182.396	8.404	S_0134_4_0001
24727.771	-133.206	16.499	S_0135_0001
-230.520	-177.060	9.528	S_0135_1_0001
-205.099	-173.132	8.984	S_0135_2_0001
-237.006	-179.016	7.675	S_0135_3_0001
-158.667	-149.768	17.755	S_0135_4_0001
-244.741	-173.579	6.672	S_0136_0001
-130.509	-149.447	15.411	S_0136_1_0001
-262.693	-188.112	4.336	S_0136_2_0001
-247.567	-193.023	5.875	S_0136_3_0001
-203.322	-178.634	11.204	S_0136_4_0001
-194.662	-171.830	10.522	S_0137_0001
-209.134	-175.756	9.988	S_0137_1_0001
-218.567	-191.743	10.278	S_0137_2_0001
-234.294	-190.762	5.671	S_0137_3_0001
-243.102	-176.440	8.327	S_0137_4_0001
24703.454	-143.151	15.023	S_0138_0001
-241.716	-179.198	4.971	S_0138_1_0001
-167.823	-151.424	15.614	S_0138_2_0001
-185.706	-150.326	9.842	S_0138_3_0001
-178.502	-174.802	13.940	S_0138_4_0001
24688.730	-155.408	14.670	S_0139_0001
-211.930	-168.771	8.250	S_0139_1_0001
-142.361	-154.327	14.282	S_0139_2_0001
-223.402	-175.062	10.899	S_0139_3_0001
-228.118	-172.944	10.778	S_0139_4_0001
-248.571	-190.056	6.766	S_0140_0001
-151.100	-149.842	15.371	S_0140_1_0001
-210.262	-177.861	10.275	S_0140_2_0001
-228.712	-190.464	7.508	S_0140_3_0001
-230.326	-185.683	8.641	S_0140_4_0001
-232.486	-164.045	9.051	S_0141_0001
-242.993	-192.558	4.752	S_0141_1_0001
24694.861	-153.924	15.063	S_0141_2_0001
-234.697	-185.518	3.641	S_0141_3_0001
-240.687	-177.010	9.162	S_0141_4_0001
-162.713	-167.245	14.712	S_0142_0001
-245.397	-194.039	6.923	S_0142_1_0001
-217.294	-169.767	6.452	S_0142_2_0001
-252.331	-190.061	5.113	S_0142_3_0001
-130.457	-155.018	13.883	S_0142_4_0001
-220.557	-186.571	9.307	S_0143_0001
-114.153	-118.463	19.638	S_0143_1_0001
-212.006	-170.064	9.942	S_0143_2_0001
-236.885	-178.594	6.698	S_0143_3_0001
-250.333	-173.407	8.953	S_0143_4_0001
-257.440	-194.611	4.326	S_0144_0001
-172.420	-134.875	9.571	S_0144_1_0001
-236.315	-186.926	8.914	S_0144_2_0001
-259.042	-194.072	5.447	S_0144_3_0001
-207.837	-168.815	10.691	S_0144_4_0001
-212.544	-173.196	7.825	S_0145_0001
-194.029	-181.819	5.126	S_0145_1_0001
-222.178	-188.118	6.797	S_0145_2_0001
-167.478	-160.750	11.638	S_0145_3_0001
-240.117	-163.167	7.533	S_0145_4_0001
-200.393	-156.077	10.369	S_0146_0001
-256.550	-193.198	4.364	S_0146_1_0001
-206.644	-186.023	11.002	S_0146_2_0001
-227.161	-177.599	8.112	S_0146_3_0001
-134.279	-146.500	16.183	S_0146_4_0001
-179.004	-178.364	9.017	S_0147_0001
-255.860	-198.696	4.294	S_0147_1_0001
-233.376	-181.075	8.308	S_0147_2_0001
-219.047	-162.714	8.700	S_0147_3_0001
-236.069	-186.562	6.024	S_0147_4_0001
-227.108	-179.919	9.609	S_0148_0001
24687.791	-125.918	15.220	S_0148_1_0001
-193.468	-178.515	10.583	S_0148_2_0001
-202.938	-169.060	9.010	S_0148_3_0001
-239.473	-169.017	6.666	S_0148_4_0001
-105.477	-97.305	19.340	S_0149_0001
24697.663	-150.446	16.409	S_0149_1_0001
-232.387	-185.561	3.549	S_0149_2_0001
-252.070	-193.933	4.360	S_0149_3_0001
-237.248	-191.569	4.735	S_0149_4_0001
-219.482	-178.524	11.640	S_0150_0001
-153.520	-145.402	17.047	S_0150_1_0001
-217.063	-170.813	11.040	S_0150_2_0001
24690.391	-133.354	10.855	S_0150_3_0001
-201.240	-168.152	12.966	S_0150_4_0001
-241.220	-179.301	7.293	S_0151_0001
-232.600	-189.760	8.074	S_0151_1_0001
-224.010	-187.277	10.667	S_0151_2_0001
-238.671	-187.277	4.677	S_0151_3_0001
-237.094	-191.592	8.760	S_0151_4_0001
-220.814	-171.817	9.116	S_0152_0001
-224.996	-178.364	9.240	S_0152_1_0001
-147.188	-140.201	17.996	S_0152_2_0001
-218.448	-159.105	9.381	S_0152_3_0001
24674.526	-157.422	17.454	S_0152_4_0001
-190.472	-162.812	11.378	S_0153_0001
24687.566	-155.882	15.641	S_0153_1_0001
-254.279	-184.225	4.160	S_0153_2_0001
-145.226	-146.614	14.168	S_0153_3_0001
-235.390	-184.564	6.935	S_0153_4_0001
-211.012	-157.608	8.109	S_0154_0001
-231.436	-173.630	10.966	S_0154_1_0001
-238.096	-180.574	6.138	S_0154_2_0001
-216.934	-177.821	7.908	S_0154_3_0001
-226.069	-182.166	7.652	S_0154_4_0001
-242.188	-191.596	10.855	S_0155_0001
-237.622	-185.068	4.575	S_0155_1_0001
24671.318	-172.831	10.721	S_0155_2_0001
-207.895	-165.805	8.724	S_0155_3_0001
-181.595	-169.980	13.156	S_0155_4_0001
-218.033	-173.591	7.918	S_0156_0001
24689.679	-153.527	17.336	S_0156_1_0001
24693.673	-154.051	15.069	S_0156_2_0001
-230.802	-181.535	8.073	S_0156_3_0001
-261.523	-194.437	8.218	S_0156_4_0001
-198.664	-174.027	11.294	S_0157_0001
-194.784	-163.742	8.158	S_0157_1_0001
-271.671	-198.809	4.937	S_0157_2_0001
-221.271	-176.706	12.263	S_0157_3_0001
-230.257	-192.154	6.361	S_0157_4_0001
-238.816	-178.284	7.542	S_0158_0001
-258.064	-187.711	5.315	S_0158_1_0001
-206.803	-166.714	8.749	S_0158_2_0001
-250.473	-183.934	7.612	S_0158_3_0001
24727.737	-122.672	17.645	S_0158_4_0001
-212.628	-173.769	5.597	S_0159_0001
-250.357	-194.740	4.037	S_0159_1_0001
-220.659	-176.404	8.072	S_0159_2_0001
-192.095	-147.924	14.924	S_0159_3_0001
-215.450	-187.562	8.911	S_0159_4_0001
-244.425	-196.162	9.048	S_0160_0001
-127.359	-146.794	17.727	S_0160_1_0001
-237.557	-185.923	6.098	S_0160_2_0001
-161.350	-155.323	17.586	S_0160_3_0001
-190.590	-146.491	9.027	S_0160_4_0001
-224.962	-166.264	9.210	S_0161_0001
-241.185	-182.317	9.063	S_0161_1_0001
-250.106	-197.755	2.937	S_0161_2_0001
-202.297	-163.844	11.112	S_0161_3_0001
-193.468	-146.283	8.705	S_0161_4_0001
-222.780	-189.805	4.797	S_0162_0001
-215.177	-181.314	7.732	S_0162_1_0001
-244.999	-176.037	4.930	S_0162_2_0001
-245.214	-178.283	5.332	S_0162_3_0001
-215.333	-187.817	9.449	S_0162_4_0001
-267.575	-187.833	5.396	S_0163_0001
-239.478	-184.474	6.261	S_0163_1_0001
-224.138	-176.505	9.070	S_0163_2_0001
-225.188	-159.724	10.031	S_0163_3_0001
-199.976	-173.780	10.269	S_0163_4_0001
-93.426	-146.247	20.133	S_0164_0001
-214.260	-166.816	10.573	S_0164_1_0001
-217.964	-165.084	9.140	S_0164_2_0001
-246.586	-183.045	8.316	S_0164_3_0001
24676.101	-157.659	15.794	S_0164_4_0001
-212.161	-188.316	8.948	S_0165_0001
-224.854	-178.774	10.709	S_0165_1_0001
-269.682	-194.220	4.654	S_0165_2_0001
-225.922	-164.938	9.072	S_0165_3_0001
-242.992	-179.015	8.483	S_0165_4_0001
-255.650	-189.491	4.278	S_0166_0001
24625.677	-180.643	9.814	S_0166_1_0001
-249.394	-192.413	3.891	S_0166_2_0001
-247.145	-170.304	7.641	S_0166_3_0001
-230.934	-181.806	6.917	S_0166_4_0001
-165.149	-149.842	16.525	S_0167_0001
-192.197	-152.418	9.191	S_0167_1_0001
-136.799	-153.234	15.292	S_0167_2_0001
-218.105	-191.999	5.156	S_0167_3_0001
-214.852	-168.463	9.139	S_0167_4_0001
-191.096	-156.758	14.234	S_0168_0001
-218.338	-179.684	7.866	S_0168_1_0001
-242.471	-184.097	3.663	S_0168_2_0001
24701.994	-147.491	14.856	S_0168_3_0001
-198.556	-159.423	8.018	S_0168_4_0001
-222.539	-187.711	11.438	S_0169_0001
-174.675	-153.861	12.547	S_0169_1_0001
-222.581	-192.309	3.018	S_0169_2_0001
-255.405	-189.668	3.902	S_0169_3_0001
24680.043	-164.829	13.487	S_0169_4_0001
-203.120	-168.023	7.477	S_0170_0001
-182.274	-162.224	8.878	S_0170_1_0001
-258.959	-191.826	4.457	S_0170_2_0001
-191.418	-156.303	6.741	S_0170_3_0001
-236.214	-175.011	7.906	S_0170_4_0001
-230.082	-167.928	8.787	S_0171_0001
-234.200	-184.523	4.687	S_0171_1_0001
24664.350	-153.016	15.399	S_0171_2_0001
-238.458	-187.216	7.230	S_0171_3_0001
-251.451	-199.186	4.288	S_0171_4_0001
-244.424	-172.054	8.051	S_0172_0001
-205.697	-185.640	6.936	S_0172_1_0001
-202.759	-167.464	8.909	S_0172_2_0001
-245.465	-185.413	6.878	S_0172_3_0001
-210.585	-160.390	10.245	S_0172_4_0001
-223.769	-170.050	10.613	S_0173_0001
-235.372	-171.357	8.109	S_0173_1_0001
-76.149	-127.245	19.498	S_0173_2_0001
-201.713	-170.588	9.965	S_0173_3_0001
24703.012	-133.887	16.331	S_0173_4_0001
-130.170	-164.389	14.448	S_0174_0001
-177.823	-144.279	9.686	S_0174_1_0001
-243.082	-197.417	9.395	S_0174_2_0001
-170.971	-165.060	15.136	S_0174_3_0001
-126.075	-126.360	15.449	S_0174_4_0001
-239.243	-179.645	8.892	S_0175_0001
-249.676	-175.507	8.432	S_0175_1_0001
-261.608	-188.335	9.184	S_0175_2_0001
-215.915	-196.958	9.077	S_0175_3_0001
-208.796	-190.141	5.928	S_0175_4_0001
-242.108	-192.188	5.383	S_0176_0001
-223.362	-172.095	7.519	S_0176_1_0001
-239.895	-195.656	8.121	S_0176_2_0001
-253.326	-191.958	4.425	S_0176_3_0001
-163.258	-141.372	14.381	S_0176_4_0001
-229.650	-189.958	6.151	S_0177_0001
-201.412	-168.995	8.644	S_0177_1_0001
-163.808	-158.927	10.907	S_0177_2_0001
-233.028	-180.688	9.918	S_0177_3_0001
-235.348	-168.633	6.995	S_0177_4_0001
-208.593	-159.659	7.464	S_0178_0001
-211.259	-173.568	7.884	S_0178_1_0001
-169.666	-155.213	15.065	S_0178_2_0001
-246.190	-189.144	7.066	S_0178_3_0001
-199.885	-163.016	8.323	S_0178_4_0001
-213.575	-169.396	8.011	S_0179_0001
-208.970	-186.933	8.379	S_0179_1_0001
-262.108	-192.641	2.915	S_0179_2_0001
-238.739	-185.211	9.458	S_0179_3_0001
-218.347	-172.468	10.978	S_0179_4_0001
-232.635	-181.219	8.541	S_0180_0001
-190.959	-180.275	11.144	S_0180_1_0001
24684.218	-152.941	14.083	S_0180_2_0001
-205.206	-164.001	7.997	S_0180_3_0001
-198.963	-156.844	8.120	S_0180_4_0001
-223.343	-193.761	6.374	S_0181_0001
-190.681	-168.830	5.262	S_0181_1_0001
-250.436	-182.123	3.730	S_0181_2_0001
-217.148	-176.287	3.804	S_0181_3_0001
-248.767	-195.809	8.839	S_0181_4_0001
-185.399	-166.259	8.598	S_0182_0001
-185.749	-159.915	11.053	S_0182_1_0001
-208.514	-161.069	11.803	S_0182_2_0001
-218.541	-174.434	8.060	S_0182_3_0001
-214.334	-178.061	11.190	S_0182_4_0001
-247.348	-194.750	4.246	S_0183_0001
24697.127	-144.847	12.371	S_0183_1_0001
-212.303	-162.229	8.333	S_0183_2_0001
-251.689	-200.800	4.266	S_0183_3_0001
-146.205	-146.138	13.209	S_0183_4_0001
24663.370	-159.721	16.214	S_0184_0001
24701.077	-143.328	15.240	S_0184_1_0001
-213.888	-191.799	3.081	S_0184_2_0001
-264.344	-193.449	4.241	S_0184_3_0001
-250.831	-189.203	4.368	S_0184_4_0001
-255.976	-192.798	4.182	S_0185_0001
-278.055	-193.006	0.000	S_0185_1_0001
-250.881	-189.501	5.579	S_0185_2_0001
-240.877	-171.450	8.196	S_0185_3_0001
-262.578	-183.718	4.238	S_0185_4_0001
-230.847	-193.551	8.350	S_0186_0001
-201.795	-177.337	11.516	S_0186_1_0001
-236.820	-189.407	6.279	S_0186_2_0001
-244.397	-182.703	6.595	S_0186_3_0001
-216.328	-165.509	4.303	S_0186_4_0001
-225.943	-179.796	5.151	S_0187_0001
-200.924	-161.432	8.730	S_0187_1_0001
24675.287	-149.197	14.486	S_0187_2_0001
-235.106	-182.698	8.818	S_0187_3_0001
-255.347	-190.641	3.780	S_0187_4_0001
-259.464	-191.480	3.873	S_0188_0001
24747.184	-112.560	17.486	S_0188_1_0001
24717.418	-151.366	17.383	S_0188_2_0001
-217.493	-174.618	9.301	S_0188_3_0001
-225.241	-167.429	6.693	S_0188_4_0001
-266.444	-197.996	6.014	S_0189_0001
-239.510	-190.333	6.651	S_0189_1_0001
-218.424	-173.821	8.006	S_0189_2_0001
-125.715	-139.763	17.710	S_0189_3_0001
-212.077	-173.781	8.895	S_0189_4_0001
-186.721	-162.498	10.003	S_0190_0001
-83.169	-90.430	16.627	S_0190_1_0001
-252.603	-187.194	5.081	S_0190_2_0001
-236.612	-173.289	7.279	S_0190_3_0001
-260.271	-192.237	3.913	S_0190_4_0001
-207.541	-172.876	8.932	S_0191_0001
-209.410	-184.518	6.178	S_0191_1_0001
-218.051	-175.718	8.279	S_0191_2_0001
-140.948	-150.343	14.940	S_0191_3_0001
-193.138	-159.579	10.694	S_0191_4_0001
-236.139	-192.124	7.556	S_0192_0001
-123.543	-152.050	16.449	S_0192_1_0001
-175.090	-134.267	6.984	S_0192_2_0001
-251.784	-185.417	8.088	S_0192_3_0001
-229.559	-181.205	10.169	S_0192_4_0001
-117.360	-157.710	15.307	S_0193_0001
-222.755	-179.154	9.478	S_0193_1_0001
-227.688	-170.354	7.938	S_0193_2_0001
-171.936	-166.607	11.336	S_0193_3_0001
-162.061	-151.630	15.069	S_0193_4_0001
-251.493	-176.266	7.678	S_0194_0001
-269.935	-195.516	4.516	S_0194_1_0001
-216.821	-165.027	7.526	S_0194_2_0001
-197.207	-179.619	11.160	S_0194_3_0001
-245.460	-198.974	3.996	S_0194_4_0001
-214.171	-180.505	10.261	S_0195_0001
-236.612	-177.529	8.355	S_0195_1_0001
-215.247	-179.492	11.830	S_0195_2_0001
-236.697	-191.202	7.559	S_0195_3_0001
-242.336	-175.059	4.049	S_0195_4_0001
-224.371	-178.682	3.978	S_0196_0001
-188.447	-155.770	10.317	S_0196_1_0001
24673.313	-159.748	15.537	S_0196_2_0001
-235.887	-187.570	6.934	S_0196_3_0001
-242.316	-191.930	7.388	S_0196_4_0001
-208.897	-196.562	8.957	S_0197_0001
-270.682	-177.415	7.252	S_0197_1_0001
-237.775	-184.018	9.018	S_0197_2_0001
24677.496	-158.670	11.411	S_0197_3_0001
-222.636	-168.278	9.192	S_0197_4_0001
24694.518	-144.241	14.243	S_0198_0001
-153.466	-146.191	17.261	S_0198_1_0001
-230.261	-167.809	7.949	S_0198_2_0001
-224.931	-181.773	11.026	S_0198_3_0001
-92.601	-121.134	18.664	S_0198_4_0001
-233.244	-179.341	5.944	S_0199_0001
-252.447	-191.517	4.459	S_0199_1_0001
24758.977	-86.830	18.060	S_0199_2_0001
-236.234	-177.177	5.400	S_0199_3_0001
-253.019	-183.069	8.206	S_0199_4_0001
-254.998	-191.322	5.780	S_0200_0001
-240.959	-184.643	6.484	S_0200_1_0001
-229.438	-170.056	6.056	S_0200_2_0001
-162.077	-152.753	15.973	S_0200_3_0001
-224.732	-171.762	3.803	S_0200_4_0001
